score,likes,comment
1,3189,늑대사냥 볼바에 그 돈으로 더위사냥 여러개 사드세요
2,968,정소민 왜 나온지 아는 사람
3,905,"초반 30분 재밌음 서인국 연기 개 쫄깃하고 ㅈㄴ 기대했는데 ㅅㅂ ㅠ 갑자기 전형적인 한국영화됨스토리 ㅈ망 수위는 한국 최고는 맞음 근데 피 효과음 스프링쿨러 소리에다가 푸슉 푸슉 거리고 피 나오는 효과음만 강조한 것 같음 사운드가 조화롭지 않음 계속 들으니깐 걍 물림 워킹데드랑 수위는 비슷하지만 피 터지는 게 너무 긴장감이 없어서 몇분 보다보면 질림 초반 3-40분이 제일 재밌었음 아니 좋은 배우 데려다가 하,,, 알아서 보셈(서인국 땜에 1점 줄려다가 별점 3점 줌)"
2,832,"그냥사람이터짐 무슨생각으로 이런영화를만든건지,, 정신감정이 필요해보임"
3,637,근본없는 내용으로 두시간은 너무 했다 시간사냥
1,550,중간까진 정말 재밌게 보다 갑자기 스토리가 난해해졌습니다.. 이런 내용일거라곤 정말 상상도 못 해서 할말을 잃고 봤네요 쓸데없이 음향효과도 극대화해 몰입도가 더욱 깨졌습니다 발소리랑 칼소리가 너무 크고 부자연스러워 어이가 없었어요 심지어 잔인한 것도 그럴듯하게 적당히 해야지 계속 보니 가짜같아서 놀랍지도 않았네요 결국 화만 잔뜩난채로 극장에서 나오게 됐습니다
1,497,고어물 매니아가 아니라면 정신건강을 위해 안보는게 좋은 영화
4,469,최악의 낚시 영화. 허무한 sf물
6,393,한국도 이렇게 잔인하게 만들수있구나 하면서 놀랐는데 그 말고는 없음.... 두번은 안 볼듯 근대 서인국은 미쳤드라
10,555,서인국 연기변신 놀랍다....
5,274,마녀로 빠지지말고 죄수 vs 경찰 고어스릴러로 쭉 나갔어야했다. 반전 이후 긴장감은 사라지고 모든 캐릭터가 피분수 내는 인형이 되어버렸다
1,244,초반 20분 서인국이 캐리해서 오 재미있나? 했다가 갑자기 D급 최악의 몬스터 학살 영화로 바뀜.시간이 아깝고 돈이 아까움 중간에 나갈까 몇번이나 생각함
5,218,일단 장르가지고 사기쳤음 잔인해도 경찰과 범죄자들의 숨막히는 액션를 보고싶었는데 뜬금 터미네이터 나옴 또 이해가 안되는게 지들 동료 총맞고 칼맞아 죽었고 범죄자들 소총들고있는데도 꼼짝마 총버려 소리가 왜나옴ㅋㅋㅋ연기는 좋아서 초반에 몰입감 확 올라오다 꼼짝마 총버려에서 깨짐서인국 연기변신 잘한건 인정함
1,221,"이 영화를 이런사람들에게 추천해요1.롯데리아가서 감자튀김 하나 먹으면서 케첩 한주먹씩 가져오시는 분 - 영화 러닝타임동안 꾸준히 케찹이 터집니다 2.본인의 인생 최대로 길게 읽은 책이 껌사면 나오는 4컷 만화일 경우 - 개연성은 저희집 보일러 실에 사는 곱등이 더듬이 보다 없음3.평소 유산소 운동,런닝머신을 하실 경우 -유산소는 자신과의 싸움입니다 달리는 와중에 끈기로 버텨야 합니다 이 영화가 그런 느낌이었습니다 러닝타임동안 유사 유산소 운동을 하고싶으실 경우 추천합니다4.자신은 남들보다 하루가 더 길다 시간이 남아 돌아서 시간을 낭비하고 싶으신 경우 - 본인의 수명이 남들보다 5배 정도 많아서 시간을 버리고 싶다면… 추천5.본인의 영화관 에티켓을 얼마나 잘 지키는지 궁금하신 경우 - 저는 제가 영화관 에티켓을 정말 잘 지킨다고 생각했습니다 하지만 이 영화를 보고 아니라는것을 알게 되었습니다건강한 문화 생활 하시기 바랍니다이 내용에 반박시 제가 무조건 틀렸습니다."
1,192,영화를 보기 전에 여러분이 생각하셨던 그 내용과 스토리가 아닙니다 영화를 보는 내내 얼굴을 찌푸렸고 너무 잔인해서 토할 것 같았습니다
1,172,노답최악감독이 투자자랑 싸워서 복수심에 망쳤나봅니다
1,160,서인국 보고 와 미쳤다 했는데 아래 평점대로 30분만 재밌음 마녀2보고 후회했는데 같은 실수를 반복했네 시간아깝고 돈아까운 느낌
8,165,서인국 대단함 앞부분은 정말 재미있음. 30분 이후 부터는 좀비영화임 .. 너무 잔인함
4,148,보는 나도 피가 솟구친다.
1,161,피 피 피 피뭐 더 없어요
1,157,1점 이상준 사람들 정신에 문제있음
3,130,
1,162,"배우들이 아깝다는 생각이 제일 먼저 들었고 , CGV에서 15000장 공짜로 푸는건 다 이유가 있다 봄 황당한 스토리 진행으로 관객들 실망시킴"
2,162,이걸 영화라고 만들고 자빠졌네 ㅋㅋ 영화 다안보고 나오긴 처음이다 ㅋ
1,140,돈 버리고 싶으면 보시길 최악임; 보러가자고 한 친구한테 쌍욕함
1,121,"피가 난무함. 신선하다. 오 흥미진진 이러고 보다가 갑자기... 무슨 영화를 이렇게...? 뭘 말하고싶으신거죠...? 배우들을 이렇게 쓰신다구요??? 장르파괴 와 예고만보면 범죄스릴러인데 갑자기...참나... 중간부터 물음표가 가득했습니다 영화표도 15,000원인데 돌려주세요 진짜 진지해요"
1,115,연출자께서는 메이즈러너 사례를 복기해보심이 좋을듯하며 소개 및 단순홍보를 넘어 각종 낚시성 홍보에 동참한 영화채널 유튜버님들도 정말 컨텐츠에 한점 부끄러움이 없으셨는지 생각해보는 시간이 되시길 바랍니다. 36년 인생에 처음 댓글리뷰 남겨봅니다.
